"filename", "language", "Python", "pip requirements", "Markdown", "JSON", "XML", "comment", "blank", "total"
"c:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\.idea\codeStyles\codeStyleConfig.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 0, 0, 12, 0, 0, 12
"c:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\.idea\misc.xml", "XML", 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\.idea\modules.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\.idea\projektSKI.iml", "XML", 0, 0, 0, 0, 16, 0, 0, 16
"c:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\.idea\vcs.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\data\benchmarks\alpha_beta_benchmark_results.json", "JSON", 0, 0, 0, 199, 0, 0, 0, 199
"c:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\data\benchmarks\benchmark_results.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 14
"c:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\data\benchmarks\genMoves1_benchmark_results.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\data\benchmarks\genMoves_benchmark_results.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\gameserver\README.md", "Markdown", 0, 0, 55, 0, 0, 0, 11, 66
"c:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\gameserver\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\gameserver\client.py", "Python", 38, 0, 0, 0, 0, 7, 13, 58
"c:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\gameserver\game.py", "Python", 289, 0, 0, 0, 0, 24, 44, 357
"c:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\gameserver\gameTest.py", "Python", 23, 0, 0, 0, 0, 2, 4, 29
"c:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\gameserver\main.py", "Python", 9, 0, 0, 0, 0, 4, 8, 21
"c:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\gameserver\network.py", "Python", 22, 0, 0, 0, 0, 0, 7, 29
