Profile results for alphaBetaMax:
         48301812 function calls (48274081 primitive calls) in 18.553 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   554658    2.150    0.000    5.199    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:124(_scoreRating)
  1434885    2.084    0.000    2.831    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:362(_getTarget)
    55506    1.153    0.000    1.258    0.000 /Users/elean/Documents/GitHub/projektSKI/src/scoreConfig_evalFunc.py:25(reversePsqT)
   880227    1.134    0.000    1.753    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:114(_checkTargetPos)
   111012    1.104    0.000    1.194    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/__init__.py:823(__add__)
    27753    0.829    0.000    6.622    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:284(_genValidatedMoves)
  1109316    0.746    0.000    1.142    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:30(append)
  2227264    0.739    0.000    0.739    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:331(getBitPositions)
  7488888    0.677    0.000    1.008    0.000 {built-in method builtins.isinstance}
  5727406    0.666    0.000    1.012    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:1267(__hash__)
  1453892    0.588    0.000    0.716    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveLib.py:137(BitsToPosition)
   554658    0.564    0.000    0.564    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:93(_moveIsNeighbourOfStartPos)
  1442352    0.480    0.000    1.241    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/__init__.py:669(update)
    55506    0.454    0.000    1.026    0.000 /Users/elean/Documents/GitHub/projektSKI/src/scoreConfig_evalFunc.py:223(createScores)
    27753    0.424    0.000   11.481    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:254(computeOverallScore)
   887694    0.399    0.000    1.135    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/__init__.py:595(__init__)
  5727406    0.346    0.000    0.346    0.000 {built-in method builtins.hash}
   880227    0.333    0.000    0.333    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:76(_startPosBelongsToPlayer)
    27753    0.269    0.000    0.757    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:308(_computeActualPositionalPoints)
    27753    0.268    0.000    3.902    0.000 /Users/elean/Documents/GitHub/projektSKI/src/scoreConfig_evalFunc.py:162(Version2)
  3054272    0.220    0.000    0.220    0.000 {built-in method builtins.len}
   249777    0.215    0.000    0.426    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:397(_filterPositions)
   249777    0.201    0.000    0.313    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:179(append)
