Profile results for alphaBetaMax:
         12102103 function calls (12094683 primitive calls) in 4.832 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   406862    0.597    0.000    0.810    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:362(_getTarget)
   129943    0.593    0.000    1.335    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:124(_scoreRating)
   249276    0.329    0.000    0.506    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:114(_checkTargetPos)
    12270    0.266    0.000    0.291    0.000 /Users/elean/Documents/GitHub/projektSKI/src/scoreConfig_evalFunc.py:25(reversePsqT)
    24540    0.252    0.000    0.272    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/__init__.py:823(__add__)
     7442    0.235    0.000    1.890    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:284(_genValidatedMoves)
   574473    0.197    0.000    0.197    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:331(getBitPositions)
   259886    0.184    0.000    0.280    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:30(append)
  1498301    0.176    0.000    0.269    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:1267(__hash__)
  1785789    0.164    0.000    0.242    0.000 {built-in method builtins.isinstance}
   129943    0.143    0.000    0.143    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:93(_moveIsNeighbourOfStartPos)
   343779    0.142    0.000    0.172    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveLib.py:137(BitsToPosition)
   333506    0.114    0.000    0.294    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/__init__.py:669(update)
    12270    0.106    0.000    0.241    0.000 /Users/elean/Documents/GitHub/projektSKI/src/scoreConfig_evalFunc.py:223(createScores)
     6135    0.104    0.000    2.815    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:254(computeOverallScore)
   249276    0.099    0.000    0.099    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:76(_startPosBelongsToPlayer)
   203563    0.094    0.000    0.267    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/__init__.py:595(__init__)
  1498301    0.093    0.000    0.093    0.000 {built-in method builtins.hash}
     6135    0.065    0.000    0.183    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:308(_computeActualPositionalPoints)
     6135    0.065    0.000    0.906    0.000 /Users/elean/Documents/GitHub/projektSKI/src/scoreConfig_evalFunc.py:162(Version2)
