Profile results for alpha_beta:
         36972491 function calls (36797567 primitive calls) in 13.731 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2054023    2.142    0.000    2.929    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:76(_checkTargetPos)
  2054023    1.794    0.000    2.829    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:240(_getTarget)
    43522    1.680    0.000    9.485    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:160(_genValidatedMoves)
  8837401    1.299    0.000    1.996    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:1267(__hash__)
   393439    1.240    0.000    1.432    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:304(checkBoardIfGameOver)
  3421757    0.709    0.000    0.709    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:195(getBitPositions)
  8837401    0.696    0.000    0.696    0.000 {built-in method builtins.hash}
   391698    0.417    0.000    0.855    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:269(_filterPositions)
   391698    0.375    0.000    0.597    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:213(append)
   836576    0.348    0.000    0.436    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveLib.py:156(BitsToPosition)
   976036    0.343    0.000    0.977    0.000 /Users/elean/Documents/GitHub/projektSKI/src/alt_eval.py:55(<genexpr>)
   174958    0.249    0.000    1.052    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:324(execSingleMove)
  1793296    0.168    0.000    0.168    0.000 {built-in method builtins.isinstance}
   139460    0.142    0.000    1.467    0.000 /Users/elean/Documents/GitHub/projektSKI/src/alt_eval.py:53(compute_points)
 39989/34    0.138    0.000   13.730    0.404 /Users/elean/Documents/GitHub/projektSKI/src/alpha_beta.py:86(alpha_beta_min)
 134970/1    0.134    0.000   13.731   13.731 /Users/elean/Documents/GitHub/projektSKI/src/alpha_beta.py:64(alpha_beta_max)
   139460    0.133    0.000    1.110    0.000 {built-in method builtins.sum}
   131437    0.133    0.000    1.904    0.000 /Users/elean/Documents/GitHub/projektSKI/src/alt_eval.py:91(computeEvaluationScore)
   139460    0.116    0.000    0.116    0.000 {built-in method _warnings.warn}
   358973    0.097    0.000    0.176    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:209(<lambda>)
   328967    0.096    0.000    0.169    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:235(<lambda>)
   328962    0.093    0.000    0.166    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:237(<lambda>)
   323635    0.092    0.000    0.164    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:208(<lambda>)
   329124    0.091    0.000    0.166    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:221(<lambda>)
    34865    0.089    0.000    1.598    0.000 /Users/elean/Documents/GitHub/projektSKI/src/alt_eval.py:52(_computeActualPositionalPoints)
   836576    0.087    0.000    0.087    0.000 {method 'bit_length' of 'int' objects}
   139460    0.073    0.000    1.313    0.000 /Users/elean/Documents/GitHub/projektSKI/venv/lib/python3.12/site-packages/numpy/core/fromnumeric.py:2177(sum)
    34865    0.067    0.000    0.148    0.000 /Users/elean/Documents/GitHub/projektSKI/src/alt_eval.py:83(_materialPoints)
   697222    0.061    0.000    0.061    0.000 {built-in method builtins.len}
   174958    0.058    0.000    0.058    0.000 {method 'copy' of 'numpy.ndarray' objects}
   174959    0.057    0.000    0.681    0.000 /Users/elean/Documents/GitHub/projektSKI/src/alpha_beta.py:116(is_game_over)
   175207    0.051    0.000    0.075    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:726(__call__)
   391698    0.042    0.000    0.042    0.000 {function FilteredPositionsArray.append at 0x11731a2a0}
   174958    0.040    0.000    0.063    0.000 /Users/elean/Documents/GitHub/projektSKI/src/alpha_beta.py:124(is_time_exceeded)
    43522    0.037    0.000    9.728    0.000 /Users/elean/Documents/GitHub/projektSKI/src/alpha_beta.py:108(generate_moves)
   139460    0.037    0.000    0.037    0.000 /Users/elean/Documents/GitHub/projektSKI/src/alt_eval.py:16(count_bits)
    43522    0.036    0.000    9.529    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:29(genMoves)
    43522    0.031    0.000    0.031    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:246(_getAllPawns)
   131437    0.026    0.000    0.026    0.000 {method 'tolist' of 'numpy.ndarray' objects}
   175207    0.024    0.000    0.024    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:1129(__new__)
   134969    0.024    0.000    0.024    0.000 {built-in method builtins.min}
   174959    0.023    0.000    0.023    0.000 {built-in method time.time}
    75371    0.021    0.000    0.038    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:227(<lambda>)
    75371    0.021    0.000    0.038    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:229(<lambda>)
