Profile results for genMoves:
         765002 function calls in 0.272 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    58000    0.067    0.000    0.093    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:76(_checkTargetPos)
     1000    0.052    0.000    0.271    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:160(_genValidatedMoves)
    58000    0.049    0.000    0.078    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:240(_getTarget)
   222000    0.032    0.000    0.049    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:1267(__hash__)
   222000    0.017    0.000    0.017    0.000 {built-in method builtins.hash}
    67000    0.014    0.000    0.014    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:195(getBitPositions)
     9000    0.009    0.000    0.019    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:269(_filterPositions)
     9000    0.009    0.000    0.014    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:213(append)
    38000    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
    12000    0.003    0.000    0.006    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:231(<lambda>)
    12000    0.003    0.000    0.006    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:211(<lambda>)
    12000    0.003    0.000    0.006    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:233(<lambda>)
    11000    0.003    0.000    0.005    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:208(<lambda>)
    11000    0.003    0.000    0.005    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:209(<lambda>)
     9000    0.001    0.000    0.001    0.000 {function FilteredPositionsArray.append at 0x11f816340}
    10000    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     1000    0.001    0.000    0.272    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:29(genMoves)
     1000    0.001    0.000    0.001    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:246(_getAllPawns)
        1    0.000    0.000    0.272    0.272 /Users/elean/Documents/GitHub/projektSKI/src/play.py:25(<lambda>)
     1000    0.000    0.000    0.000    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:206(__init__)
     1000    0.000    0.000    0.000    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:261(_getAllKnights)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


