         23415407 function calls (23272942 primitive calls) in 6.891 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  3130802    1.128    0.000    1.368    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveLib.py:156(BitsToPosition)
  3652600    1.024    0.000    3.052    0.000 /Users/elean/Documents/GitHub/projektSKI/src/alt_eval.py:55(<genexpr>)
  3652600    0.659    0.000    0.659    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:195(getBitPositions)
   521800    0.459    0.000    4.547    0.000 /Users/elean/Documents/GitHub/projektSKI/src/alt_eval.py:53(compute_points)
   521800    0.416    0.000    0.416    0.000 {built-in method _warnings.warn}
   521800    0.364    0.000    3.416    0.000 {built-in method builtins.sum}
   130450    0.294    0.000    4.956    0.000 /Users/elean/Documents/GitHub/projektSKI/src/alt_eval.py:52(_computeActualPositionalPoints)
  3130802    0.240    0.000    0.240    0.000 {method 'bit_length' of 'int' objects}
   130450    0.217    0.000    0.601    0.000 /Users/elean/Documents/GitHub/projektSKI/src/alt_eval.py:83(_materialPoints)
   521800    0.206    0.000    0.254    0.000 /Users/elean/Documents/GitHub/projektSKI/src/alt_eval.py:15(count_bits)
   521800    0.182    0.000    4.051    0.000 /Users/elean/Documents/GitHub/projektSKI/venv/lib/python3.12/site-packages/numpy/core/fromnumeric.py:2177(sum)
 11384/34    0.169    0.000    6.891    0.203 /Users/elean/Documents/GitHub/projektSKI/src/alpha_beta_Kopie.py:163(alpha_beta_min)
  1304500    0.158    0.000    0.246    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:1267(__hash__)
    12050    0.146    0.000    0.146    0.000 /Users/elean/Documents/GitHub/projektSKI/src/alpha_beta_Kopie.py:25(hash_position)
    94660    0.138    0.000    0.160    0.000 /Users/elean/Documents/GitHub/projektSKI/src/board_final.py:190(blue_p_move_generation)
   123954    0.132    0.000    0.176    0.000 /Users/elean/Documents/GitHub/projektSKI/src/board_final.py:219(blue_p_move_execution)
   131115    0.117    0.000    0.158    0.000 /Users/elean/Documents/GitHub/projektSKI/src/board_final.py:340(blue_takeback)
  1304500    0.089    0.000    0.089    0.000 {built-in method builtins.hash}
  1043600    0.084    0.000    0.084    0.000 {built-in method builtins.isinstance}
   142499    0.082    0.000    0.271    0.000 /Users/elean/Documents/GitHub/projektSKI/src/board_final.py:85(takeback)
   142499    0.082    0.000    0.285    0.000 /Users/elean/Documents/GitHub/projektSKI/src/board_final.py:65(exec_move)
   835420    0.080    0.000    0.080    0.000 {method 'append' of 'list' objects}
   130450    0.061    0.000    5.618    0.000 /Users/elean/Documents/GitHub/projektSKI/src/alt_eval.py:90(computeEvaluationScore)
   284998    0.051    0.000    0.051    0.000 {method 'remove' of 'list' objects}
 131116/1    0.051    0.000    6.891    6.891 /Users/elean/Documents/GitHub/projektSKI/src/alpha_beta_Kopie.py:124(alpha_beta_max)
     8841    0.047    0.000    0.236    0.000 /Users/elean/Documents/GitHub/projektSKI/src/board_final.py:325(blue_generation)
   521800    0.037    0.000    0.037    0.000 /Users/elean/Documents/GitHub/projektSKI/venv/lib/python3.12/site-packages/numpy/core/fromnumeric.py:2172(_sum_dispatcher)
   142499    0.029    0.000    0.044    0.000 /Users/elean/Documents/GitHub/projektSKI/src/alpha_beta_Kopie.py:202(is_time_exceeded)
   131115    0.022    0.000    0.022    0.000 {built-in method builtins.min}
   142499    0.016    0.000    0.016    0.000 {method 'pop' of 'list' objects}
   142500    0.015    0.000    0.015    0.000 {built-in method time.time}
     2544    0.012    0.000    0.012    0.000 {built-in method builtins.print}
    10675    0.012    0.000    0.016    0.000 /Users/elean/Documents/GitHub/projektSKI/src/board_final.py:424(red_p_move_execution)
    11384    0.011    0.000    0.015    0.000 /Users/elean/Documents/GitHub/projektSKI/src/board_final.py:541(red_takeback)
     7030    0.011    0.000    0.012    0.000 /Users/elean/Documents/GitHub/projektSKI/src/board_final.py:375(red_p_move_generation)
     5716    0.010    0.000    0.012    0.000 /Users/elean/Documents/GitHub/projektSKI/src/board_final.py:206(blue_k_move_generation)
   107887    0.008    0.000    0.008    0.000 {built-in method builtins.len}
     7161    0.008    0.000    0.011    0.000 /Users/elean/Documents/GitHub/projektSKI/src/board_final.py:272(blue_k_move_execution)
    12050    0.008    0.000    0.008    0.000 /Users/elean/Documents/GitHub/projektSKI/src/alpha_beta_Kopie.py:64(lookup)
     9507    0.004    0.000    0.004    0.000 /Users/elean/Documents/GitHub/projektSKI/src/alpha_beta_Kopie.py:61(store)
      666    0.004    0.000    0.019    0.000 /Users/elean/Documents/GitHub/projektSKI/src/board_final.py:525(red_generation)
     9507    0.004    0.000    0.259    0.000 /Users/elean/Documents/GitHub/projektSKI/src/board_final.py:54(generate_moves)
    11384    0.002    0.000    0.002    0.000 {built-in method builtins.max}
      481    0.001    0.000    0.001    0.000 /Users/elean/Documents/GitHub/projektSKI/src/board_final.py:403(red_k_move_generation)
      709    0.001    0.000    0.001    0.000 /Users/elean/Documents/GitHub/projektSKI/src/board_final.py:474(red_k_move_execution)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    6.891    6.891 /Users/elean/Documents/GitHub/projektSKI/src/alpha_beta_Kopie.py:99(search)
        1    0.000    0.000    6.891    6.891 /Users/elean/Documents/GitHub/projektSKI/src/play.py:23(<lambda>)


