Profile results for minimaxMax:
         10697190 function calls (10691630 primitive calls) in 3.645 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   254163    0.604    0.000    0.828    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:343(_getTarget)
    90968    0.274    0.000    0.781    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:124(_scoreRating)
    11158    0.239    0.000    0.262    0.000 /Users/elean/Documents/GitHub/projektSKI/src/scoreConfig_evalFunc.py:25(reversePsqT)
  2417138    0.238    0.000    0.370    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:1267(__hash__)
    22316    0.229    0.000    0.248    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/__init__.py:823(__add__)
   163195    0.216    0.000    0.332    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:114(_checkTargetPos)
     5579    0.159    0.000    1.560    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:284(_genValidatedMoves)
   392603    0.134    0.000    0.134    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:331(getBitPositions)
   181936    0.133    0.000    0.201    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:30(append)
  2417138    0.131    0.000    0.131    0.000 {built-in method builtins.hash}
  1279598    0.121    0.000    0.179    0.000 {built-in method builtins.isinstance}
   235412    0.099    0.000    0.121    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveLib.py:137(BitsToPosition)
    11158    0.088    0.000    0.191    0.000 /Users/elean/Documents/GitHub/projektSKI/src/scoreConfig_evalFunc.py:223(createScores)
    90968    0.086    0.000    0.086    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:93(_moveIsNeighbourOfStartPos)
   248884    0.084    0.000    0.219    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/__init__.py:669(update)
     5579    0.075    0.000    1.991    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:254(computeOverallScore)
   157916    0.074    0.000    0.208    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/__init__.py:595(__init__)
   163195    0.062    0.000    0.062    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:76(_startPosBelongsToPlayer)
     5579    0.057    0.000    0.790    0.000 /Users/elean/Documents/GitHub/projektSKI/src/scoreConfig_evalFunc.py:162(Version2)
     5579    0.045    0.000    0.126    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:308(_computeActualPositionalPoints)
    50211    0.044    0.000    0.087    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:419(_filterPositions)
    11157    0.042    0.000    0.046    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:460(checkBoardIfGameOver)
    50211    0.042    0.000    0.065    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:179(append)
   536821    0.039    0.000    0.039    0.000 {built-in method builtins.len}
   226568    0.031    0.000    0.058    0.000 <frozen abc>:117(__instancecheck__)
    90968    0.031    0.000    0.043    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:5(append)
   226568    0.029    0.000    0.029    0.000 {function Counter.update at 0x104279940}
   226568    0.027    0.000    0.027    0.000 {built-in method _abc._abc_instancecheck}
   232147    0.023    0.000    0.023    0.000 {function FilteredPositionsArray.append at 0x13fc1afc0}
   235412    0.022    0.000    0.022    0.000 {method 'bit_length' of 'int' objects}
     5579    0.018    0.000    0.810    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:171(_updateConfig)
   181936    0.017    0.000    0.017    0.000 {method 'extend' of 'list' objects}
