Profile results for minimaxMax:
         26241054 function calls (23356730 primitive calls) in 6.263 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    6.263    6.263 /Users/elean/Documents/GitHub/projektSKI/src/minmax.py:216(<lambda>)
    283/1    0.010    0.000    6.263    6.263 /Users/elean/Documents/GitHub/projektSKI/src/minmax.py:130(minimaxMax)
  5296/18    0.013    0.000    6.262    0.348 /Users/elean/Documents/GitHub/projektSKI/src/minmax.py:156(minimaxMin)
     5579    0.078    0.000    4.622    0.001 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:254(computeOverallScore)
     5579    0.019    0.000    3.326    0.001 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:171(_updateConfig)
     5579    0.061    0.000    3.305    0.001 /Users/elean/Documents/GitHub/projektSKI/src/scoreConfig_evalFunc.py:162(Version2)
    11158    0.048    0.000    2.698    0.000 /Users/elean/Documents/GitHub/projektSKI/src/scoreConfig_evalFunc.py:223(createScores)
2901080/22316    1.326    0.000    2.581    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/copy.py:118(deepcopy)
    22316    0.022    0.000    2.493    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/copy.py:247(_reconstruct)
    44632    0.007    0.000    2.431    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/copy.py:252(<genexpr>)
    22316    0.379    0.000    2.385    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/copy.py:217(_deepcopy_dict)
     5579    0.005    0.000    1.553    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:58(genMoves)
     5579    0.160    0.000    1.547    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:284(_genValidatedMoves)
   254163    0.595    0.000    0.814    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:343(_getTarget)
    90968    0.280    0.000    0.796    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:124(_scoreRating)
  5824476    0.465    0.000    0.465    0.000 {method 'get' of 'dict' objects}
  2417138    0.238    0.000    0.368    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:1267(__hash__)
