Profile results for minimaxMax:
         13070127 function calls (11464860 primitive calls) in 3.110 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1614600/12420    0.750    0.000    1.457    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/copy.py:118(deepcopy)
  3241620    0.261    0.000    0.261    0.000 {method 'get' of 'dict' objects}
    94425    0.231    0.000    0.320    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:343(_getTarget)
    12420    0.214    0.000    1.347    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/copy.py:217(_deepcopy_dict)
     6210    0.137    0.000    0.151    0.000 /Users/elean/Documents/GitHub/projektSKI/src/scoreConfig_evalFunc.py:25(reversePsqT)
    12420    0.134    0.000    0.145    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/__init__.py:823(__add__)
    36106    0.119    0.000    0.334    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:124(_scoreRating)
  1003981    0.102    0.000    0.157    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:1267(__hash__)
  1676700    0.096    0.000    0.096    0.000 {built-in method builtins.id}
    58319    0.079    0.000    0.121    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:114(_checkTargetPos)
  1589760    0.071    0.000    0.071    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/copy.py:172(_deepcopy_atomic)
   817578    0.071    0.000    0.097    0.000 {built-in method builtins.isinstance}
     3105    0.069    0.000    0.627    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:284(_genValidatedMoves)
   176323    0.057    0.000    0.057    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:331(getBitPositions)
  1003981    0.055    0.000    0.055    0.000 {built-in method builtins.hash}
