Profile results for alphaBetaMax:
         665476 function calls (665155 primitive calls) in 0.260 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8251    0.037    0.000    0.083    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:125(_scoreRating)
    14922    0.020    0.000    0.030    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:103(_checkTargetPos)
    23804    0.020    0.000    0.029    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:329(_getTarget)
      642    0.014    0.000    0.015    0.000 /Users/elean/Documents/GitHub/projektSKI/src/scoreConfig_evalFunc.py:25(reversePsqT)
      347    0.014    0.000    0.090    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:236(_genValidatedMoves)
     1284    0.013    0.000    0.014    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/__init__.py:823(__add__)
    35979    0.013    0.000    0.013    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:285(getBitPositions)
    16502    0.011    0.000    0.017    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:33(append)
    84868    0.010    0.000    0.015    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:1267(__hash__)
    23617    0.009    0.000    0.011    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveLib.py:155(BitsToPosition)
    99548    0.009    0.000    0.014    0.000 {built-in method builtins.isinstance}
     8251    0.009    0.000    0.009    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:94(_moveIsNeighbourOfStartPos)
    20354    0.007    0.000    0.018    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/__init__.py:669(update)
      642    0.006    0.000    0.015    0.000 /Users/elean/Documents/GitHub/projektSKI/src/scoreConfig_evalFunc.py:224(createScores)
    14922    0.006    0.000    0.006    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:75(_startPosBelongsToPlayer)
    12103    0.006    0.000    0.016    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/__init__.py:595(__init__)
    84868    0.005    0.000    0.005    0.000 {built-in method builtins.hash}
      321    0.005    0.000    0.163    0.001 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:259(computeOverallScore)
      321    0.005    0.000    0.013    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:313(_computeActualPositionalPoints)
      321    0.003    0.000    0.050    0.000 /Users/elean/Documents/GitHub/projektSKI/src/scoreConfig_evalFunc.py:161(Version2)
    45790    0.003    0.000    0.003    0.000 {built-in method builtins.len}
     3123    0.003    0.000    0.005    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:361(_filterPositions)
     3123    0.003    0.000    0.004    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:213(append)
    19070    0.003    0.000    0.005    0.000 <frozen abc>:117(__instancecheck__)
      693    0.003    0.000    0.003    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:396(checkBoardIfGameOver)
    19070    0.002    0.000    0.002    0.000 {function Counter.update at 0x102f76840}
    19070    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
    23617    0.002    0.000    0.002    0.000 {method 'bit_length' of 'int' objects}
    20256    0.002    0.000    0.002    0.000 {function FilteredPositionsArray.append at 0x11be15940}
     8572    0.001    0.000    0.002    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:59(__init__)
      321    0.001    0.000    0.051    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:174(_updateConfig)
     4749    0.001    0.000    0.002    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:298(<lambda>)
     8251    0.001    0.000    0.001    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:79(__turnOptions)
     4393    0.001    0.000    0.002    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:310(<lambda>)
    322/1    0.001    0.000    0.260    0.260 /Users/elean/Documents/GitHub/projektSKI/src/minmax.py:73(alphaBetaMax)
      321    0.001    0.000    0.002    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:235(_materialPoints)
      321    0.001    0.000    0.001    0.000 {method 'sort' of 'list' objects}
     8251    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
     4020    0.001    0.000    0.002    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:297(<lambda>)
      346    0.001    0.000    0.003    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:418(execSingleMove)
       25    0.001    0.000    0.259    0.010 /Users/elean/Documents/GitHub/projektSKI/src/minmax.py:97(alphaBetaMin)
