         13472092 function calls (13429526 primitive calls) in 8.770 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  4685545    1.801    0.000    1.801    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\moveGenerator_sicher.py:308(getBitPositions)
   386004    1.197    0.000    3.514    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\alt_eval.py:137(compute_points)
   386004    0.965    0.000    0.965    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   386004    0.607    0.000    1.500    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\alt_eval.py:167(count_bits)
    96501    0.464    0.000    4.031    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\alt_eval.py:136(_computeActualPositionalPoints)
  1903113    0.444    0.000    0.444    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\moveLib.py:169(BitsToPosition)
   144792    0.410    0.000    0.517    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\moveGenerator_sicher.py:353(_getTarget)
    96501    0.350    0.000    1.910    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\alt_eval.py:170(_materialPoints)
    99462    0.332    0.000    0.722    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\moveGenerator_sicher.py:494(execSingleMove)
  2886539    0.328    0.000    0.328    0.000 C:\Python312\Lib\site-packages\fastenum\fastenum.py:101(__hash__)
   412718    0.276    0.000    0.276    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\moveGenerator_sicher.py:586(_Board_Exec_Move)
    87938    0.229    0.000    0.323    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\moveGenerator_sicher.py:90(_checkTargetPos)
    99462    0.218    0.000    0.426    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\moveGenerator_sicher.py:575(takeback)
