         15857351 function calls (15828155 primitive calls) in 11.337 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   536368    1.352    0.000    4.114    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\alt_eval.py:131(compute_points)
   536368    1.314    0.000    1.314    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  2500755    1.145    0.000    1.145    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\moveGenerator_sicher.py:308(getBitPositions)
   308411    0.883    0.000    1.117    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\moveGenerator_sicher.py:354(_getTarget)
   140211    0.713    0.000    1.309    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\moveGenerator_sicher.py:495(execSingleMove)
   134092    0.685    0.000    4.875    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\alt_eval.py:130(_computeActualPositionalPoints)
  4868339    0.553    0.000    0.553    0.000 C:\Python312\Lib\site-packages\fastenum\fastenum.py:101(__hash__)
   197414    0.515    0.000    0.728    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\moveGenerator_sicher.py:90(_checkTargetPos)
   134092    0.481    0.000    1.079    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\alt_eval.py:162(_materialPoints)
   536368    0.424    0.000    0.510    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\alt_eval.py:17(count_bits)
  1713974    0.419    0.000    0.419    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\moveLib.py:169(BitsToPosition)
     5889    0.346    0.000    2.598    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\moveGenerator_sicher.py:260(_genValidatedMoves)
   140211    0.313    0.000    0.625    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\moveGenerator_sicher.py:575(takeback)
   140211    0.275    0.000    0.316    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\moveGenerator_sicher.py:473(checkBoardIfGameOver)
   288459    0.217    0.000    0.217    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\moveGenerator_sicher.py:586(_Board_Exec_Move)
  1048611    0.161    0.000    0.161    0.000 {built-in method builtins.isinstance}
   197414    0.152    0.000    0.152    0.000 C:\Users\admin\Uni\Module\Projekt_Symbolische_KI\Projekt\projektSKI\src\moveGenerator_sicher.py:52(_startPosBelongsToPlayer)
